Timestamp,Vehicle Angle,VehicleID,VehiclePos,VehiclePos,Longitude,latitude
87,48.853998,veh1,55.175289,4.126519,-6.253837,53.349523
88,41.900824,veh1,5.438238,6.592949,-6.253767,53.349565
89,13.568974,veh1,14.585478,9.14724,-6.253715,53.349639
90,340.787232,veh1,1.934652,10.669174,-6.253744,53.349732
91,335.778541,veh1,12.129245,10.194593,-6.253801,53.349817
92,342.063007,veh1,2.716363,7.197117,-6.253834,53.349878
93,29.280308,veh1,6.402106,9.345744,-6.25379,53.349954
94,54.56263,veh1,14.737529,8.335423,-6.253691,53.349999
95,60.02379,veh1,6.327766,6.830236,-6.2536,53.350028
96,60.02379,veh1,12.965722,6.637956,-6.253512,53.350056
97,60.02379,veh1,19.528594,6.562872,-6.253425,53.350083
98,60.02379,veh1,27.059791,7.531197,-6.253325,53.350115
99,60.725418,veh1,2.532324,7.112533,-6.25323,53.350144
100,61.409079,veh1,9.18288,6.650556,-6.253141,53.35017
100,247.120095,veh2,5.1,0,-6.255067,53.352444
101,62.695806,veh1,7.469863,7.646983,-6.253037,53.3502
101,247.120095,veh2,6.889351,1.789351,-6.255092,53.352438
102,62.695806,veh1,15.061309,7.591446,-6.252933,53.350228
102,247.120095,veh2,10.650587,3.761236,-6.255145,53.352426
103,62.695806,veh1,22.16759,7.106281,-6.252837,53.350256
103,247.120095,veh2,16.136334,5.485746,-6.255222,53.352409
104,62.695806,veh1,27.912319,5.744729,-6.252759,53.350277
104,247.120095,veh2,23.514957,7.378624,-6.255325,53.352385
105,47.444714,veh1,4.214495,4.742176,-6.252707,53.350305
105,247.120095,veh2,30.062747,6.54779,-6.255417,53.352365
106,351.344738,veh1,1.350426,4.815931,-6.252715,53.350347
106,237.762326,veh2,3.345854,6.333107,-6.2555,53.352338
107,337.04883,veh1,8.058061,6.707635,-6.252751,53.350403
107,181.854017,veh2,8.616879,5.271026,-6.255507,53.352294
108,337.04883,veh1,15.614247,7.556186,-6.252791,53.350466
108,154.88594,veh2,5.144885,5.568006,-6.255476,53.352248
109,337.04883,veh1,22.155903,6.541656,-6.252826,53.350521
109,154.88594,veh2,12.534465,7.38958,-6.255433,53.352187
110,337.410417,veh1,3.212975,6.607072,-6.252861,53.350577
110,154.88594,veh2,21.518981,8.984516,-6.25538,53.352112
111,337.611406,veh1,10.449288,7.236312,-6.252898,53.350638
111,154.88594,veh2,32.028033,10.509052,-6.255319,53.352025
112,338.282356,veh1,6.448316,7.049028,-6.252934,53.350698
112,154.88594,veh2,44.517724,12.489691,-6.255246,53.351922
113,338.282356,veh1,13.789938,7.341622,-6.25297,53.35076
113,154.88594,veh2,57.883047,13.365323,-6.255167,53.351811
114,338.282356,veh1,20.772237,6.982299,-6.253005,53.350819
114,154.88594,veh2,71.540168,13.657121,-6.255088,53.351698
115,338.282356,veh1,26.288626,5.516389,-6.253033,53.350866
115,154.818516,veh2,0.644966,12.814798,-6.255013,53.351592
116,345.453868,veh1,6.138609,7.789983,-6.253062,53.350934
116,154.363313,veh2,13.537385,12.892419,-6.254936,53.351486
117,340.161251,veh1,0.863359,7.76475,-6.253092,53.351001
117,153.848091,veh2,13.172758,13.985373,-6.25485,53.351371
118,335.287162,veh1,1.429391,7.766032,-6.253137,53.351065
118,153.848091,veh2,26.588538,13.41578,-6.254769,53.351261
119,335.313847,veh1,9.175351,7.74596,-6.253181,53.351129
119,153.848091,veh2,40.229746,13.641208,-6.254685,53.351149
120,335.313847,veh1,16.904345,7.728994,-6.253226,53.351194
120,153.848091,veh2,52.995834,12.766088,-6.254608,53.351044
121,335.313847,veh1,24.697504,7.793159,-6.253271,53.351258
121,153.848091,veh2,65.801426,12.805593,-6.25453,53.350939
122,332.216422,veh1,3.378705,7.451201,-6.253317,53.351319
122,153.849786,veh2,0.307019,8.305593,-6.254479,53.35087
123,327.254671,veh1,9.994463,6.615758,-6.253369,53.35137
123,153.875677,veh2,5.150452,4.843432,-6.254449,53.350831
124,337.683094,veh1,5.545234,7.260771,-6.253408,53.351431
124,153.836022,veh2,0.667549,1.327098,-6.254441,53.35082
125,337.683094,veh1,13.24889,7.703656,-6.253448,53.351496
125,153.831575,veh2,0.742426,0.074877,-6.254441,53.350819
126,337.683094,veh1,20.548502,7.299612,-6.253485,53.351557
126,153.83053,veh2,0.760028,0.017602,-6.254441,53.350819
127,337.683094,veh1,27.304878,6.756376,-6.25352,53.351614
127,153.83012,veh2,0.766938,0.00691,-6.254441,53.350819
